;name;set_name;cmc;power;toughness;oracle_text
0;Daretti, Rocketeer Engineer;Aetherdrift;5.0;*;5;"Daretti's power is equal to the greatest mana value among artifacts you control.
Whenever Daretti enters or attacks, choose target artifact card in your graveyard. You may sacrifice an artifact. If you do, return the chosen card to the battlefield."
1;Brightglass Gearhulk;Aetherdrift;4.0;4;4;"First strike, trample
When this creature enters, you may search your library for up to two artifact, creature, and/or enchantment cards with mana value 1 or less, reveal them, put them into your hand, then shuffle."
2;Sire of Seven Deaths;Foundations;7.0;7;7;"First strike, vigilance
Menace, trample
Reach, lifelink
Ward—Pay 7 life."
3;Arahbo, the First Fang;Foundations;3.0;2;2;"Other Cats you control get +1/+1.
Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token."
4;Armasaur Guide;Foundations;5.0;4;4;"Vigilance (Attacking doesn't cause this creature to tap.)
Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control."
5;Cat Collector;Foundations;3.0;3;2;"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you gain life for the first time during each of your turns, create a 1/1 white Cat creature token."
6;Crystal Barricade;Foundations;2.0;0;4;"Defender (This creature can't attack.)
You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Prevent all noncombat damage that would be dealt to other creatures you control."
7;Dauntless Veteran;Foundations;3.0;2;2;Whenever this creature attacks, creatures you control get +1/+1 until end of turn.
8;Dazzling Angel;Foundations;3.0;2;3;"Flying
Whenever another creature you control enters, you gain 1 life."
9;Exemplar of Light;Foundations;4.0;3;3;"Flying
Whenever you gain life, put a +1/+1 counter on this creature.
Whenever you put one or more +1/+1 counters on this creature, draw a card. This ability triggers only once each turn."
10;Felidar Savior;Foundations;4.0;2;3;"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, put a +1/+1 counter on each of up to two other target creatures you control."
11;Guarded Heir;Foundations;6.0;1;1;"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, create two 3/3 white Knight creature tokens."
12;Hare Apparent;Foundations;2.0;2;2;"When this creature enters, create a number of 1/1 white Rabbit creature tokens equal to the number of other creatures you control named Hare Apparent.
A deck can have any number of cards named Hare Apparent."
13;Helpful Hunter;Foundations;2.0;1;1;When this creature enters, draw a card.
14;Herald of Eternal Dawn;Foundations;7.0;6;6;"Flash (You may cast this spell any time you could cast an instant.)
Flying
You can't lose the game and your opponents can't win the game."
15;Inspiring Paladin;Foundations;3.0;3;3;"During your turn, this creature has first strike. (It deals combat damage before creatures without first strike.)
During your turn, creatures you control with +1/+1 counters on them have first strike."
16;Prideful Parent;Foundations;3.0;2;2;"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, create a 1/1 white Cat creature token."
17;Skyknight Squire;Foundations;2.0;1;1;"Whenever another creature you control enters, put a +1/+1 counter on this creature.
As long as this creature has three or more +1/+1 counters on it, it has flying and is a Knight in addition to its other types."
18;Squad Rallier;Foundations;4.0;3;4;{2}{W}: Look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
19;Sun-Blessed Healer;Foundations;2.0;3;1;"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, if it was kicked, return target nonland permanent card with mana value 2 or less from your graveyard to the battlefield."
20;Vanguard Seraph;Foundations;4.0;3;3;"Flying
Whenever you gain life for the first time each turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
21;Archmage of Runes;Foundations;5.0;3;6;"Instant and sorcery spells you cast cost {1} less to cast.
Whenever you cast an instant or sorcery spell, draw a card."
22;Bigfin Bouncer;Foundations;4.0;3;2;When this creature enters, return target creature an opponent controls to its owner's hand.
